#*************************************************************************
#*************************************************************************
#   STATISTICS FROM DNS OF TURBULENT CHANNEL FLOW AT RETAU = 999

# References:

# M. Bernardini, S. Pirozzoli, P. Orlandi, "Velocity statistics in turbulent
# channel flow up to Retau=4000" Journal of Fluid Mechanics Volume 742, March 2014, Pages 171-191

#*************************************************************************
#*************************************************************************
#*
#* Date of file: January 07, 2014
#*
# ***********************************
# Wall-normal profiles:
# ***********************************

#        y                y+              U+              u'+             v'+             w'+            u'v'+           omx+'           omz'+          omy'+ 
0.1279113E+00   0.1277502E+03   0.1688632E+02   0.1925369E+01   0.1065221E+01   0.1327322E+01  -0.8451357E+00   0.7861058E-01   0.7181312E-01   0.7289745E-01
0.1319438E+00   0.1317776E+03   0.1696238E+02   0.1918160E+01   0.1063836E+01   0.1321550E+01  -0.8418733E+00   0.7723229E-01   0.7059481E-01   0.7164227E-01
0.1360344E+00   0.1358630E+03   0.1703762E+02   0.1911041E+01   0.1062347E+01   0.1315825E+01  -0.8384870E+00   0.7590175E-01   0.6942067E-01   0.7042859E-01
0.1401828E+00   0.1400062E+03   0.1711206E+02   0.1903972E+01   0.1060766E+01   0.1310161E+01  -0.8349868E+00   0.7461172E-01   0.6829452E-01   0.6925552E-01
0.1443887E+00   0.1442069E+03   0.1718574E+02   0.1896941E+01   0.1059104E+01   0.1304547E+01  -0.8313951E+00   0.7336254E-01   0.6720462E-01   0.6812056E-01
0.1486520E+00   0.1484647E+03   0.1725867E+02   0.1889937E+01   0.1057370E+01   0.1298970E+01  -0.8277178E+00   0.7216346E-01   0.6614889E-01   0.6702061E-01
0.1529721E+00   0.1527794E+03   0.1733086E+02   0.1882957E+01   0.1055567E+01   0.1293461E+01  -0.8239418E+00   0.7100462E-01   0.6512445E-01   0.6595344E-01
0.1573490E+00   0.1571508E+03   0.1740234E+02   0.1875998E+01   0.1053694E+01   0.1288033E+01  -0.8200629E+00   0.6987598E-01   0.6412480E-01   0.6491760E-01
0.1617823E+00   0.1615786E+03   0.1747312E+02   0.1869071E+01   0.1051752E+01   0.1282688E+01  -0.8161108E+00   0.6877869E-01   0.6314920E-01   0.6391359E-01
0.1662717E+00   0.1660623E+03   0.1754322E+02   0.1862168E+01   0.1049747E+01   0.1277430E+01  -0.8120862E+00   0.6770542E-01   0.6220552E-01   0.6294109E-01
0.1708169E+00   0.1706018E+03   0.1761267E+02   0.1855272E+01   0.1047690E+01   0.1272245E+01  -0.8079653E+00   0.6666353E-01   0.6129412E-01   0.6199759E-01
0.1754177E+00   0.1751967E+03   0.1768150E+02   0.1848369E+01   0.1045593E+01   0.1267106E+01  -0.8037258E+00   0.6566153E-01   0.6040568E-01   0.6108161E-01
0.1800735E+00   0.1798467E+03   0.1774970E+02   0.1841439E+01   0.1043463E+01   0.1261999E+01  -0.7993834E+00   0.6469601E-01   0.5954145E-01   0.6019308E-01
0.1847843E+00   0.1845516E+03   0.1781729E+02   0.1834475E+01   0.1041300E+01   0.1256920E+01  -0.7949680E+00   0.6375965E-01   0.5870849E-01   0.5933011E-01
0.1895496E+00   0.1893108E+03   0.1788428E+02   0.1827488E+01   0.1039096E+01   0.1251847E+01  -0.7904832E+00   0.6284307E-01   0.5789711E-01   0.5848929E-01
0.1943692E+00   0.1941244E+03   0.1795068E+02   0.1820495E+01   0.1036848E+01   0.1246766E+01  -0.7859445E+00   0.6195565E-01   0.5709715E-01   0.5766967E-01
0.1992427E+00   0.1989918E+03   0.1801647E+02   0.1813499E+01   0.1034554E+01   0.1241686E+01  -0.7813594E+00   0.6108996E-01   0.5631121E-01   0.5687155E-01
0.2041698E+00   0.2039126E+03   0.1808166E+02   0.1806508E+01   0.1032215E+01   0.1236628E+01  -0.7767273E+00   0.6023771E-01   0.5555247E-01   0.5609473E-01
0.2091501E+00   0.2088867E+03   0.1814627E+02   0.1799531E+01   0.1029826E+01   0.1231611E+01  -0.7720432E+00   0.5940776E-01   0.5481910E-01   0.5533701E-01
0.2141834E+00   0.2139137E+03   0.1821026E+02   0.1792586E+01   0.1027386E+01   0.1226651E+01  -0.7673329E+00   0.5859693E-01   0.5410305E-01   0.5459845E-01
0.2192693E+00   0.2189932E+03   0.1827365E+02   0.1785658E+01   0.1024894E+01   0.1221733E+01  -0.7625789E+00   0.5780210E-01   0.5339159E-01   0.5387954E-01
0.2244075E+00   0.2241249E+03   0.1833646E+02   0.1778691E+01   0.1022357E+01   0.1216803E+01  -0.7577509E+00   0.5703297E-01   0.5270305E-01   0.5317942E-01
0.2295976E+00   0.2293084E+03   0.1839873E+02   0.1771638E+01   0.1019777E+01   0.1211830E+01  -0.7528564E+00   0.5629008E-01   0.5204445E-01   0.5249600E-01
0.2348392E+00   0.2345434E+03   0.1846048E+02   0.1764493E+01   0.1017144E+01   0.1206829E+01  -0.7479043E+00   0.5556816E-01   0.5140736E-01   0.5182778E-01
0.2401320E+00   0.2398295E+03   0.1852172E+02   0.1757275E+01   0.1014453E+01   0.1201827E+01  -0.7428965E+00   0.5486365E-01   0.5078200E-01   0.5117340E-01
0.2454757E+00   0.2451665E+03   0.1858244E+02   0.1750016E+01   0.1011697E+01   0.1196851E+01  -0.7378396E+00   0.5416752E-01   0.5015588E-01   0.5053253E-01
0.2508699E+00   0.2505540E+03   0.1864263E+02   0.1742730E+01   0.1008875E+01   0.1191914E+01  -0.7327236E+00   0.5348371E-01   0.4954021E-01   0.4990611E-01
0.2563143E+00   0.2559915E+03   0.1870231E+02   0.1735398E+01   0.1005992E+01   0.1187024E+01  -0.7275294E+00   0.5281459E-01   0.4894643E-01   0.4929270E-01
0.2618083E+00   0.2614786E+03   0.1876148E+02   0.1728006E+01   0.1003058E+01   0.1182149E+01  -0.7222632E+00   0.5215292E-01   0.4836817E-01   0.4869056E-01
0.2673519E+00   0.2670152E+03   0.1882016E+02   0.1720567E+01   0.1000079E+01   0.1177274E+01  -0.7169425E+00   0.5150681E-01   0.4780152E-01   0.4809929E-01
0.2729445E+00   0.2726007E+03   0.1887836E+02   0.1713086E+01   0.9970574E+00   0.1172385E+01  -0.7115732E+00   0.5088272E-01   0.4724251E-01   0.4751926E-01
0.2785857E+00   0.2782348E+03   0.1893611E+02   0.1705551E+01   0.9939919E+00   0.1167468E+01  -0.7061341E+00   0.5026801E-01   0.4669986E-01   0.4695120E-01
0.2842752E+00   0.2839171E+03   0.1899341E+02   0.1697967E+01   0.9908817E+00   0.1162543E+01  -0.7006119E+00   0.4965788E-01   0.4616899E-01   0.4639545E-01
0.2900126E+00   0.2896473E+03   0.1905029E+02   0.1690325E+01   0.9877296E+00   0.1157613E+01  -0.6949996E+00   0.4905626E-01   0.4563979E-01   0.4585026E-01
0.2957976E+00   0.2954250E+03   0.1910679E+02   0.1682611E+01   0.9845442E+00   0.1152655E+01  -0.6893243E+00   0.4846988E-01   0.4511874E-01   0.4531507E-01
0.3016297E+00   0.3012498E+03   0.1916288E+02   0.1674849E+01   0.9813358E+00   0.1147632E+01  -0.6836132E+00   0.4789427E-01   0.4460853E-01   0.4479001E-01
0.3075085E+00   0.3071212E+03   0.1921855E+02   0.1667062E+01   0.9781089E+00   0.1142524E+01  -0.6778773E+00   0.4733425E-01   0.4410619E-01   0.4427423E-01
0.3134336E+00   0.3130389E+03   0.1927379E+02   0.1659262E+01   0.9748643E+00   0.1137348E+01  -0.6721019E+00   0.4678642E-01   0.4361083E-01   0.4376786E-01
0.3194047E+00   0.3190024E+03   0.1932861E+02   0.1651446E+01   0.9716011E+00   0.1132146E+01  -0.6662917E+00   0.4625079E-01   0.4312738E-01   0.4327131E-01
0.3254215E+00   0.3250116E+03   0.1938300E+02   0.1643593E+01   0.9683132E+00   0.1126941E+01  -0.6604629E+00   0.4572945E-01   0.4265562E-01   0.4278255E-01
0.3314832E+00   0.3310658E+03   0.1943696E+02   0.1635684E+01   0.9649921E+00   0.1121713E+01  -0.6546223E+00   0.4522134E-01   0.4218854E-01   0.4230167E-01
0.3375899E+00   0.3371647E+03   0.1949052E+02   0.1627710E+01   0.9616309E+00   0.1116470E+01  -0.6487627E+00   0.4472562E-01   0.4172658E-01   0.4182934E-01
0.3437407E+00   0.3433078E+03   0.1954370E+02   0.1619637E+01   0.9582264E+00   0.1111237E+01  -0.6428633E+00   0.4423299E-01   0.4126936E-01   0.4136553E-01
0.3499355E+00   0.3494948E+03   0.1959652E+02   0.1611423E+01   0.9547759E+00   0.1106008E+01  -0.6368841E+00   0.4373991E-01   0.4081896E-01   0.4090857E-01
0.3561739E+00   0.3557253E+03   0.1964899E+02   0.1603087E+01   0.9512787E+00   0.1100748E+01  -0.6308148E+00   0.4325349E-01   0.4037438E-01   0.4045767E-01
0.3624553E+00   0.3619988E+03   0.1970107E+02   0.1594655E+01   0.9477355E+00   0.1095441E+01  -0.6246760E+00   0.4277948E-01   0.3992879E-01   0.4001315E-01
0.3687794E+00   0.3683150E+03   0.1975276E+02   0.1586110E+01   0.9441463E+00   0.1090089E+01  -0.6184773E+00   0.4231510E-01   0.3949402E-01   0.3957429E-01
0.3751458E+00   0.3746733E+03   0.1980406E+02   0.1577451E+01   0.9405068E+00   0.1084688E+01  -0.6122308E+00   0.4185084E-01   0.3907613E-01   0.3914104E-01
0.3815539E+00   0.3810734E+03   0.1985501E+02   0.1568727E+01   0.9368136E+00   0.1079217E+01  -0.6059322E+00   0.4138864E-01   0.3866974E-01   0.3871338E-01
0.3880036E+00   0.3875149E+03   0.1990561E+02   0.1559965E+01   0.9330667E+00   0.1073658E+01  -0.5995799E+00   0.4093350E-01   0.3827075E-01   0.3829170E-01
0.3944941E+00   0.3939972E+03   0.1995585E+02   0.1551173E+01   0.9292629E+00   0.1068002E+01  -0.5931936E+00   0.4048516E-01   0.3787341E-01   0.3787634E-01
0.4010251E+00   0.4005200E+03   0.2000570E+02   0.1542360E+01   0.9253985E+00   0.1062267E+01  -0.5867792E+00   0.4004822E-01   0.3747341E-01   0.3746631E-01
0.4075962E+00   0.4070829E+03   0.2005515E+02   0.1533503E+01   0.9214724E+00   0.1056495E+01  -0.5803291E+00   0.3960989E-01   0.3707108E-01   0.3705975E-01
0.4142071E+00   0.4136854E+03   0.2010419E+02   0.1524564E+01   0.9174889E+00   0.1050707E+01  -0.5738470E+00   0.3916198E-01   0.3667529E-01   0.3665658E-01
0.4208571E+00   0.4203270E+03   0.2015281E+02   0.1515534E+01   0.9134588E+00   0.1044864E+01  -0.5673299E+00   0.3871970E-01   0.3628400E-01   0.3625804E-01
0.4275459E+00   0.4270074E+03   0.2020102E+02   0.1506432E+01   0.9093890E+00   0.1038964E+01  -0.5607693E+00   0.3828789E-01   0.3589606E-01   0.3586406E-01
0.4342730E+00   0.4337261E+03   0.2024884E+02   0.1497271E+01   0.9052770E+00   0.1033060E+01  -0.5541717E+00   0.3786132E-01   0.3550933E-01   0.3547380E-01
